ds,y
2019-10-27,710.94
2019-10-28,593.81
2019-10-29,616.91
2019-10-30,803.09
2019-10-31,742.75
2019-11-01,997.81
2019-11-02,1392.65
2019-11-03,1077.59
2019-11-04,1022.88
2019-11-05,996.32
2019-11-06,1187.04
2019-11-07,1162.94
2019-11-08,1536.35
2019-11-09,1485.84
2019-11-10,1185.44
2019-11-11,1139.13
2019-11-12,1212.08
2019-11-13,1187.68
2019-11-14,1226.04
2019-11-15,1270.45
2019-11-16,1362.43
2019-11-17,1043.73
2019-11-18,1130.69
2019-11-19,1174.07
2019-11-20,1006.44
2019-11-21,1000.98
2019-11-22,1255.33
2019-11-23,1309.6
2019-11-24,1108.56
2019-11-25,859.51
2019-11-26,984.8
2019-11-27,1003.36
2019-11-28,898.63
2019-11-29,1228.17
2019-11-30,1355.02
2019-12-01,1136.31
2019-12-02,1265.94
2019-12-03,1181.25
2019-12-04,1140.96
2019-12-05,1239.26
2019-12-06,1545.23
2019-12-07,1497.22
2019-12-08,1212.51
2019-12-09,1335.87
2019-12-10,1274.96
2019-12-11,1341.71
2019-12-12,1282.02
2019-12-13,1528.82
2019-12-14,1476.4
2019-12-15,1242.37
2019-12-16,1209.01
2019-12-17,1110.36
2019-12-18,1064.42
2019-12-19,1227.19
2019-12-20,1328.86
2019-12-21,1362.26
2019-12-22,1126.59
2019-12-23,1218.39
2019-12-24,943.49
2019-12-25,1008.12
2019-12-26,1060.0
2019-12-27,1460.58
2019-12-28,1479.66
2019-12-29,1234.78
2019-12-30,1100.86
2019-12-31,1122.77
2020-01-01,889.61
2020-01-02,878.5
2020-01-03,1136.09
2020-01-04,1193.08
2020-01-05,943.14
2020-01-06,942.71
2020-01-07,997.47
2020-01-08,1000.79
2020-01-09,803.41
2020-01-10,945.93
2020-01-11,1294.83
2020-01-12,995.44
2020-01-13,801.87
2020-01-14,715.95
2020-01-15,852.8
2020-01-16,899.26
2020-01-17,1149.17
2020-01-18,1128.73
2020-01-19,742.02
2020-01-20,687.59
2020-01-21,750.75
2020-01-22,720.6
2020-01-23,662.21
2020-01-24,1110.41
2020-01-25,1196.54
2020-01-26,855.65
2020-01-27,705.52
2020-01-28,864.81
2020-01-29,866.88
2020-01-30,871.7
2020-01-31,1157.29
2020-02-01,1228.73
2020-02-02,956.4
2020-02-03,965.37
2020-02-04,956.11
2020-02-05,797.2
2020-02-06,953.79
2020-02-07,1105.7
2020-02-08,1146.68
2020-02-09,1078.32
2020-02-10,1072.89
2020-02-11,1030.59
2020-02-12,926.6
2020-02-13,996.29
2020-02-14,1069.78
2020-02-15,1164.96
2020-02-16,741.39
2020-02-17,841.84
2020-02-18,798.02
2020-02-19,674.71
2020-02-20,763.8
2020-02-21,954.23
2020-02-22,1201.18
2020-02-23,829.9
2020-02-24,764.46
2020-02-25,792.62
2020-02-26,789.05
2020-02-27,785.19
2020-02-28,933.18
2020-02-29,1127.73
2020-03-01,801.04
2020-03-02,781.62
2020-03-03,942.59
2020-03-04,951.34
2020-03-05,793.01
2020-03-06,1138.93
2020-03-07,1337.58
2020-03-08,1047.84
2020-03-09,1046.15
2020-03-10,963.97
2020-03-11,885.96
2020-03-12,855.85
2020-03-13,1155.84
2020-03-14,1241.72
2020-03-15,995.58
2020-03-16,960.73
2020-03-17,842.07
2020-03-18,733.68
2020-03-19,789.75
2020-03-20,1016.99
2020-03-21,1070.73
2020-03-22,731.46
2020-03-23,792.63
2020-03-24,730.95
2020-03-25,724.12
2020-03-26,806.49
2020-03-27,960.46
2020-03-28,1126.57
2020-03-29,846.12
2020-03-30,752.41
2020-03-31,825.65
2020-04-01,1000.19
2020-04-02,812.79
2020-04-03,955.72
2020-04-04,1093.32
2020-04-05,959.03
2020-04-06,970.21
2020-04-07,965.54
2020-04-08,1075.18
2020-04-09,763.09
2020-04-10,1203.3
2020-04-11,1387.33
2020-04-12,859.48
2020-04-13,903.65
2020-04-14,855.87
2020-04-15,825.12
2020-04-16,850.49
2020-04-17,1170.92
2020-04-18,1284.93
2020-04-19,794.17
2020-04-20,959.18
2020-04-21,798.6
2020-04-22,928.76
2020-04-23,777.77
2020-04-24,996.7
2020-04-25,1120.63
2020-04-26,1054.88
2020-04-27,881.47
2020-04-28,772.69
2020-04-29,925.15
2020-04-30,838.73
2020-05-01,1049.4
2020-05-02,1282.18
2020-05-03,932.03
2020-05-04,970.18
2020-05-05,964.92
2020-05-06,1003.53
2020-05-07,1019.77
2020-05-08,1036.0
2020-05-09,1345.27
2020-05-10,910.15
2020-05-11,866.03
2020-05-12,965.72
2020-05-13,962.84
2020-05-14,883.75
2020-05-15,1186.93
2020-05-16,1093.21
2020-05-17,847.95
2020-05-18,814.28
2020-05-19,839.41
2020-05-20,849.78
2020-05-21,734.12
2020-05-22,1063.48
2020-05-23,1105.29
2020-05-24,647.76
2020-05-25,645.53
2020-05-26,808.44
2020-05-27,802.8
2020-05-28,826.62
2020-05-29,1049.88
2020-05-30,1189.46
2020-05-31,967.81
2020-06-01,824.13
2020-06-02,839.85
2020-06-03,865.44
2020-06-04,993.24
2020-06-05,1284.15
2020-06-06,1261.09
2020-06-07,802.67
2020-06-08,869.58
2020-06-09,938.13
2020-06-10,954.86
2020-06-11,957.6
2020-06-12,1180.64
2020-06-13,1236.95
2020-06-14,1027.9
2020-06-15,870.44
2020-06-16,835.46
2020-06-17,922.89
2020-06-18,742.94
2020-06-19,1080.07
2020-06-20,1142.83
2020-06-21,811.81
2020-06-22,943.38
2020-06-23,763.31
2020-06-24,978.89
2020-06-25,801.22
2020-06-26,926.26
2020-06-27,1146.82
2020-06-28,771.03
2020-06-29,815.34
2020-06-30,927.29
2020-07-01,960.88
2020-07-02,887.58
2020-07-03,1236.39
2020-07-04,1368.35
2020-07-05,1106.56
2020-07-06,1046.81
2020-07-07,1122.7
2020-07-08,868.34
2020-07-09,994.36
2020-07-10,1147.2
2020-07-11,1318.81
2020-07-12,952.53
2020-07-13,970.69
2020-07-14,1117.66
2020-07-15,934.72
2020-07-16,961.54
2020-07-17,1089.77
2020-07-18,1194.98
2020-07-19,871.47
2020-07-20,891.19
2020-07-21,935.83
2020-07-22,965.19
2020-07-23,852.87
2020-07-24,1074.14
2020-07-25,1038.0
2020-07-26,830.25
2020-07-27,923.55
2020-07-28,932.03
2020-07-29,896.9
2020-07-30,970.18
2020-07-31,1159.12
2020-08-01,1336.9
2020-08-02,984.61
2020-08-03,952.31
2020-08-04,1024.85
2020-08-05,777.96
2020-08-06,1054.08
2020-08-07,938.79
2020-08-08,1195.88
2020-08-09,1068.77
2020-08-10,1065.54
2020-08-11,925.13
2020-08-12,948.44
2020-08-13,1099.39
2020-08-14,1133.08
2020-08-15,1431.81
2020-08-16,932.14
2020-08-17,945.08
2020-08-18,1023.0
2020-08-19,887.23
2020-08-20,782.29
2020-08-21,1042.68
2020-08-22,1141.32
2020-08-23,731.76
2020-08-24,821.46
2020-08-25,787.73
2020-08-26,930.23
2020-08-27,871.85
2020-08-28,1062.36
2020-08-29,1194.84
2020-08-30,941.23
2020-08-31,993.64
2020-09-01,885.23
2020-09-02,901.92
2020-09-03,1091.98
2020-09-04,1186.52
2020-09-05,1218.96
2020-09-06,1076.99
2020-09-07,1083.73
2020-09-08,925.19
2020-09-09,1062.78
2020-09-10,1095.97
2020-09-11,1256.05
2020-09-12,1362.39
2020-09-13,882.6
2020-09-14,1002.64
2020-09-15,932.08
2020-09-16,897.59
2020-09-17,986.42
2020-09-18,1217.18
2020-09-19,1326.72
2020-09-20,975.64
2020-09-21,852.47
2020-09-22,884.18
2020-09-23,916.17
2020-09-24,867.62
2020-09-25,1075.6
2020-09-26,1242.08
2020-09-27,885.86
2020-09-28,849.48
2020-09-29,893.96
2020-09-30,998.42
2020-10-01,968.97
2020-10-02,1216.53
2020-10-03,1362.22
2020-10-04,995.85
2020-10-05,1100.76
2020-10-06,1081.61
2020-10-07,959.73
2020-10-08,1177.0
2020-10-09,1220.42
2020-10-10,1222.78
2020-10-11,962.38
2020-10-12,951.58
2020-10-13,1021.77
2020-10-14,977.75
2020-10-15,953.28
2020-10-16,1209.73
2020-10-17,1267.48
2020-10-18,946.78
2020-10-19,937.39
2020-10-20,939.63
2020-10-21,710.68
2020-10-22,842.87
2020-10-23,894.37
2020-10-24,1172.66
2020-10-25,874.59
2020-10-26,967.77
2020-10-27,991.94
2020-10-28,929.06
2020-10-29,891.16
2020-10-30,1190.05
2020-10-31,1229.91
2020-11-01,1196.41
2020-11-02,1301.36
2020-11-03,1202.04
2020-11-04,1332.79
2020-11-05,1341.03
2020-11-06,1425.27
2020-11-07,1690.32
2020-11-08,1374.78
2020-11-09,1329.24
2020-11-10,1258.17
2020-11-11,1244.67
2020-11-12,1261.33
2020-11-13,1535.98
2020-11-14,1502.38
2020-11-15,1298.93
2020-11-16,1149.39
2020-11-17,1217.77
2020-11-18,1229.63
2020-11-19,1405.43
2020-11-20,1291.45
2020-11-21,1614.63
2020-11-22,1207.92
2020-11-23,1231.95
2020-11-24,1215.79
2020-11-25,1253.19
2020-11-26,1220.33
2020-11-27,1567.25
2020-11-28,1535.41
2020-11-29,1385.48
2020-11-30,1267.52
2020-12-01,1338.75
2020-12-02,1281.77
2020-12-03,1426.5
2020-12-04,1726.09
2020-12-05,1721.78
2020-12-06,1426.21
2020-12-07,1362.85
2020-12-08,1439.51
2020-12-09,1331.93
2020-12-10,1383.55
2020-12-11,1667.92
2020-12-12,1844.88
2020-12-13,1650.61
2020-12-14,1363.08
2020-12-15,1507.36
2020-12-16,1393.8
2020-12-17,1344.07
2020-12-18,1573.6
2020-12-19,1628.55
2020-12-20,1319.54
2020-12-21,1268.29
2020-12-22,1182.97
2020-12-23,1169.13
2020-12-24,1346.78
2020-12-25,1478.36
2020-12-26,1562.67
2020-12-27,1324.4
2020-12-28,1403.66
2020-12-29,1373.17
2020-12-30,1326.51
2020-12-31,1498.1
2021-01-01,1347.25
2021-01-02,1380.52
2021-01-03,1137.21
2021-01-04,1174.57
2021-01-05,1178.42
2021-01-06,1146.32
2021-01-07,1150.24
2021-01-08,1344.93
2021-01-09,1312.34
2021-01-10,1148.89
2021-01-11,973.35
2021-01-12,1003.97
2021-01-13,1154.93
2021-01-14,1099.08
2021-01-15,1330.99
2021-01-16,1270.18
2021-01-17,880.31
2021-01-18,935.31
2021-01-19,947.04
2021-01-20,932.48
2021-01-21,1007.65
2021-01-22,1082.76
2021-01-23,1238.7
2021-01-24,834.54
2021-01-25,956.87
2021-01-26,932.14
2021-01-27,886.33
2021-01-28,944.66
2021-01-29,1168.1
2021-01-30,1281.8
2021-01-31,1166.14
2021-02-01,1037.15
2021-02-02,1044.81
2021-02-03,913.74
2021-02-04,1024.43
2021-02-05,1285.96
2021-02-06,1359.35
2021-02-07,1227.86
2021-02-08,1102.99
2021-02-09,1213.97
2021-02-10,1106.63
2021-02-11,1091.95
2021-02-12,1266.2
2021-02-13,1355.67
2021-02-14,1173.44
2021-02-15,830.29
2021-02-16,835.87
2021-02-17,933.75
2021-02-18,961.48
2021-02-19,1201.25
2021-02-20,1272.87
2021-02-21,896.99
2021-02-22,1006.02
2021-02-23,1007.9
2021-02-24,945.39
2021-02-25,1016.85
2021-02-26,1174.45
2021-02-27,1223.62
2021-02-28,1042.72
2021-03-01,1015.79
2021-03-02,1027.96
2021-03-03,1166.6
2021-03-04,872.74
2021-03-05,1173.75
2021-03-06,1308.1
2021-03-07,1086.81
2021-03-08,1104.67
2021-03-09,1009.64
2021-03-10,1052.4
2021-03-11,1059.11
2021-03-12,1517.28
2021-03-13,1553.8
2021-03-14,1062.45
2021-03-15,1049.41
2021-03-16,967.78
2021-03-17,887.2
2021-03-18,1010.42
2021-03-19,1120.51
2021-03-20,1275.62
2021-03-21,838.72
2021-03-22,893.06
2021-03-23,956.7
2021-03-24,968.82
2021-03-25,971.79
2021-03-26,1035.85
2021-03-27,1317.07
2021-03-28,895.73
2021-03-29,1024.8
2021-03-30,990.53
2021-03-31,900.57
2021-04-01,1005.97
2021-04-02,1281.52
2021-04-03,1421.91
2021-04-04,1080.9
2021-04-05,1231.94
2021-04-06,1204.42
2021-04-07,1114.33
2021-04-08,1202.09
2021-04-09,1499.88
2021-04-10,1600.88
2021-04-11,1040.51
2021-04-12,1055.42
2021-04-13,1235.62
2021-04-14,1016.5
2021-04-15,977.42
2021-04-16,1224.9
2021-04-17,1377.33
2021-04-18,1015.66
2021-04-19,953.02
2021-04-20,934.23
2021-04-21,916.91
2021-04-22,892.51
2021-04-23,1338.11
2021-04-24,1276.15
2021-04-25,1024.28
2021-04-26,919.39
2021-04-27,952.82
2021-04-28,923.41
2021-04-29,784.26
2021-04-30,1104.51
2021-05-01,1189.95
2021-05-02,875.73
2021-05-03,980.99
2021-05-04,1202.66
2021-05-05,1111.46
2021-05-06,1234.17
2021-05-07,1376.6
2021-05-08,1515.5
2021-05-09,1086.0
2021-05-10,1200.98
2021-05-11,1214.13
2021-05-12,1102.41
2021-05-13,1182.28
2021-05-14,1368.54
2021-05-15,1362.39
2021-05-16,997.75
2021-05-17,972.97
2021-05-18,1054.55
